1.0	Fradkov	say on	Friday	PERSON	DATE
1.0	tax	be in	retaliation by Moscow on belarussian oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation by Moscow for tonne tariff on belarussian oil import	0	LOCATION
1.0	tax	be in	retaliation by Moscow on oil import from Russia	0	LOCATION
1.0	official	be in	talk	0	0
1.0	tax	be in	retaliation for demand by Moscow for tonne tariff on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow on belarussian oil import from Russia	0	LOCATION
1.0	Russia	have	President Vladimir Putin	PERSON	LOCATION
1.0	tax	be in	retaliation on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation by Moscow for tonne tariff on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation by Moscow on belarussian oil import	0	LOCATION
1.0	this	be result of	complication	0	0
1.0	tax	be in	retaliation for earlier demand by Moscow for 180-dollar-per tonne tariff on belarussian oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation on belarussian oil import from Russia	0	LOCATION
1.0	Russia	have	oil export pipeline	O	LOCATION
1.0	dispute	prompt shutdown to	Europe	0	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for tonne tariff on belarussian oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation by Moscow for tonne tariff on belarussian oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for demand by Moscow for tonne tariff on belarussian oil import	0	LOCATION
1.0	aspect	be	unfairly exploit	0	0
1.0	Russia 's President Vladimir Putin	unblock	final obstacle	LOCATION	0
1.0	tax	be in	retaliation by Moscow on oil import	0	LOCATION
1.0	tax	be in	retaliation for demand by Moscow for tonne tariff on oil import	0	LOCATION
1.0	several aspect	be unfairly exploit by	Belarus	0	LOCATION
1.0	Belarus	impose	45	LOCATION	NUMBER
1.0	oil supplies	resume at_time	Wednesday	0	DATE
1.0	Russia 's President Vladimir Putin	talk by	telephone	LOCATION	0
1.0	Russian Prime Minister Mikhail Fradkov	say in	televise comment	PERSON	0
1.0	tax	be in	retaliation for demand by Moscow on oil import	0	LOCATION
1.0	several aspect	be	exploit	0	0
1.0	dispute	prompt	shutdown of Druzhba pipeline	0	MISC
1.0	this	be	result	0	0
1.0	its	have	territory	O	O
1.0	Druzhba pipeline	have	shutdown	O	O
1.0	oil supplies	resume at_time	late Wednesday	0	DATE
1.0	several aspect	be exploit by	Belarus	0	LOCATION
1.0	Officials from the two countries	have	ties	O	O
1.0	tax	be in	retaliation by Moscow for 180-dollar-per tonne tariff on oil import from Russia	0	LOCATION
1.0	tax	be in	retaliation for earlier demand	0	0
1.0	tax	be in	retaliation for demand on belarussian oil import from Russia	0	LOCATION
1.0	Russia 's President Vladimir Putin	unblock	obstacle	LOCATION	0
1.0	their	have	conclusions	O	O
1.0	tax	be in	retaliation for earlier demand on belarussian oil import from Russia	0	LOCATION
1.0	Belarus	have	Alexander Lukashenko	LOCATION	PERSON
1.0	tax	be in	retaliation by Moscow for 180-dollar-per tonne tariff on belarussian oil import	0	LOCATION
1.0	disproportionate profit	sell	it	0	0
1.0	he	be	quote	0	0
0.3685031457146231	three day	begin on	Monday	DURATION	DATE
1.0	tax	be in	retaliation for demand on belarussian oil import	0	0
1.0	tax	be in	retaliation on oil import	0	0
1.0	Russia 's President Vladimir Putin	talk at_time	Friday	LOCATION	DATE
1.0	tax	be in	retaliation for earlier demand by Moscow for 180-dollar-per tonne tariff	0	LOCATION
1.0	Russia	have	Vladimir Putin	LOCATION	PERSON
1.0	this	be result of	complication in we tie	0	0
1.0	tax	be in	retaliation for earlier demand by Moscow for tonne tariff on oil import	0	LOCATION
1.0	profit	sell	it	0	0
1.0	Monday	have	shut-down	DATE	0
1.0	we	have	53 dollar	0	MONEY
1.0	Russia	have	reputation	O	LOCATION
1.0	tax	be in	retaliation for earlier demand by Moscow for 180-dollar-per tonne tariff on oil import from Russia	0	LOCATION
1.0	Mikhail Fradkov	be	Russian	PERSON	MISC
1.0	oil	have	tonne	O	O
1.0	tax	be in	retaliation by Moscow for tonne tariff	0	LOCATION
