1.0	patek	be want for	October 2002 night club bombing	0	TIME
1.0	Abu Sayyaf	be small gang of	militant blame in recent year	PERSON	DURATION
1.0	groups	have	signatures	O	O
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate in year	PERSON	0
1.0	Abu Sayyaf	have	handiwork	O	PERSON
1.0	Abu Sayyaf	be gang of	militant blame	PERSON	0
1.0	Abu Sayyaf	be gang of	militant blame for spate in recent year	PERSON	DURATION
1.0	Abu Sayyaf	be small gang of	militant blame for spate in recent year	PERSON	DURATION
1.0	group	be on	run from massive military operation back on island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be small gang of	self-styled militant	PERSON	0
1.0	fast-food chain	be in	southern philippine city of Cotabato	0	LOCATION
1.0	group	be on	run from operation back on island	0	0
1.0	group	be on	run	0	0
1.0	Abu Sayyaf	be gang of	militant blame for spate of kidnapping in recent year	PERSON	DURATION
1.0	organizations	have	list	O	O
1.0	Cotabato	have	city	O	LOCATION
1.0	group	be on	run from massive military operation back on island	0	0
1.0	US government	have	list	O	O
1.0	Maguindanao province	be	muslim	LOCATION	0
1.0	bombings	have	spate	O	O
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate in year	PERSON	0
1.0	clan feud	be	common	0	0
1.0	attack	come at_time	week	DURATION	DURATION
1.0	Abu Sayyaf	be	small gang	PERSON	0
1.0	Jollibee hamburger chain	have	rear	O	O
1.0	group	be on	run from massive operation back on island	0	0
1.0	Abu Sayyaf	be gang of	militant blame in year	PERSON	0
1.0	group	be on	run from massive operation back on southern island	0	0
1.0	Khadaffy Janjalani	be of	Abu Sayyaf	PERSON	PERSON
1.0	group	be on	run from operation	0	0
1.0	group	be on	run from operation back on southern island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate	PERSON	0
1.0	Khadaffy Janjalani	be leader of	Abu Sayyaf	PERSON	PERSON
1.0	Abu Sayyaf	be gang of	militant blame in recent year	PERSON	DURATION
1.0	group	be on	run from massive operation	0	0
1.0	group	be on	run from massive military operation back on southern island	0	0
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate in recent year	PERSON	DURATION
1.0	Abu Sayyaf	be gang of	militant	PERSON	0
1.0	Abu Sayyaf	be small gang of	militant blame for spate in year	PERSON	0
1.0	Abu Sayyaf	be	gang	PERSON	0
1.0	Abu Sayyaf	be small gang of	self-styled militant blame in year	PERSON	0
1.0	group	be on	run from massive military operation	0	0
1.0	group	be on	run from military operation back on southern island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be small gang of	self-styled militant blame	PERSON	0
1.0	JI	be	where believe	0	0
1.0	group	be on	run from massive operation back on southern island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be gang of	militant blame for spate of kidnapping in year	PERSON	0
1.0	patek	want	dulmatin	0	0
1.0	group	be on	run from military operation	0	0
1.0	Samson Obatay	say	Inspector	PERSON	0
1.0	Samson Obatay	say	senior Inspector	PERSON	0
1.0	patek	be	want	0	0
1.0	kidnappings	have	spate	O	O
1.0	it	recover	remains	0	DURATION
1.0	group	be on	run from operation back on southern island	0	0
1.0	group	be on	run from military operation back on island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate of kidnapping in recent year	PERSON	DURATION
1.0	Abu Sayyaf	be small gang of	militant blame in year	PERSON	0
1.0	Abu Sayyaf	be gang of	self-styled militant blame	PERSON	0
1.0	Abu Sayyaf	be small gang of	self-styled militant blame in recent year	PERSON	DURATION
1.0	group	be on	run from military operation back	0	0
1.0	Abu Sayyaf	be small gang of	militant blame for spate of kidnapping in year	PERSON	0
1.0	Jolo	have	island	O	LOCATION
1.0	man	have	remains	O	O
1.0	Abu Sayyaf	be small gang of	militant blame for spate	PERSON	0
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate of kidnapping in recent year	PERSON	DURATION
1.0	group	be on	run from operation back	0	0
1.0	clash	be in	September last year	DURATION	DATE
1.0	Abu Sayyaf	be small gang of	militant blame for spate of kidnapping	PERSON	0
1.0	Sayyaf	be	small	PERSON	0
1.0	Abu Sayyaf	be small gang of	militant blame	PERSON	0
1.0	Abu Sayyaf	be gang of	militant blame for spate in year	PERSON	0
1.0	group	be on	run from military operation back on southern island	0	0
1.0	JI	be	believe	0	0
1.0	militants	have	gang	O	O
1.0	Abu Sayyaf	be small gang of	militant	PERSON	0
1.0	Jemaah Islamiyah	have	handiwork	O	O
1.0	Samson Obatay	tell	AFP	PERSON	ORGANIZATION
1.0	group	be on	run from massive operation back	0	0
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate in recent year	PERSON	DURATION
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate of kidnapping in year	PERSON	0
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate of kidnapping in year	PERSON	0
1.0	Abu Sayyaf	be small gang of	militant blame for spate of kidnapping in recent year	PERSON	DURATION
1.0	group	be on	run from massive operation back on island of Jolo	0	LOCATION
1.0	group	be on	run from operation back on island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be gang of	self-styled militant blame in year	PERSON	0
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate	PERSON	0
1.0	group	be on	run from military operation back on island	0	0
1.0	christian city	be in	Maguindanao province	0	LOCATION
1.0	Abu Sayyaf	be gang of	self-styled militant blame in recent year	PERSON	DURATION
1.0	Abu Sayyaf	be gang of	militant blame for spate	PERSON	0
1.0	Abu Sayyaf	be gang of	militant blame for spate of kidnapping	PERSON	0
1.0	Abu Sayyaf	be gang of	self-styled militant blame for spate of kidnapping	PERSON	0
1.0	group	be on	run from massive military operation back on southern island of Jolo	0	LOCATION
1.0	Abu Sayyaf	be small gang of	self-styled militant blame for spate of kidnapping	PERSON	0
1.0	group	be on	run from massive military operation back	0	0
1.0	Abu Sayyaf	be gang of	self-styled militant	PERSON	0
