1.0	tariff	be	cancel	0	0
1.0	prime minister 's spokesman	clear way to	resolution of dispute	0	0
1.0	minister 's spokesman	clear way to	resolution of dispute	0	0
1.0	minister	have	spokesman	O	O
1.0	prime minister 's spokesman	clear	way	0	0
1.0	Belarus	be on	Wednesday	LOCATION	DATE
1.0	prime minister	have	spokesman	0	0
1.0	spokesman Alexander Timoshenko	quote	Prime Minister Sergei Sidorsky say	PERSON	PERSON
1.0	dispute	have	resolution	O	O
1.0	prime minister 's spokesman	clear way to	resolution	0	0
1.0	minister 's spokesman	clear way to	resolution	0	0
1.0	minister 's spokesman	clear	way	0	0
0.8678009004184376	Prime Minister Sergei Sidorsky	say after	government meeting	PERSON	0
1.0	minister 's spokesman	tell	AFP	0	ORGANIZATION
1.0	prime minister 's spokesman	tell	AFP	0	ORGANIZATION
1.0	spokesman Alexander Timoshenko	quote	Prime Minister Sergei Sidorsky say after government meeting	PERSON	PERSON
1.0	spokesman Alexander Timoshenko	quote	Prime Minister Sergei Sidorsky	PERSON	PERSON
