1.0	report	say at_time	Friday	0	DATE
1.0	Singapore 's wide street	be see as	ideal	LOCATION	0
1.0	Manama	be in	Bahrain	LOCATION	LOCATION
1.0	return	have prove	vastly more	0	0
1.0	Federation Internationale l'Automobile	have	president	O	ORGANIZATION
1.0	at least two Singaporean groups	talk about	race	0	0
1.0	race	be in	Yeongam county	0	LOCATION
1.0	China	be on	now calendar	LOCATION	DATE
1.0	Bernie Ecclestone	host grand prix around	street of city-state as early as next year	PERSON	DATE
1.0	you	will know about	a race in Singapore	0	0
1.0	Mosley	move	Grand Prix around world from its european root	PERSON	MISC
1.0	Bernie Ecclestone	host grand prix around	street	PERSON	0
1.0	Mosley	move more	Grand Prix around world from its european root	PERSON	MISC
1.0	talk	holder of	Formula one	0	0
1.0	Mosley	move	Grand Prix around world	PERSON	MISC
1.0	Bernie Ecclestone	host grand prix around	street of city-state as early as year	PERSON	DATE
1.0	Mosley	move more	Grand Prix around world	PERSON	MISC
1.0	return	have prove	more in tourism receipt	0	0
1.0	at least two Singaporean groups	talk to	party	0	0
1.0	Bernie Ecclestone	be in	talk	PERSON	0
1.0	Singapore	be	welcome	0	0
1.0	Singapore	have	streets	O	LOCATION
1.0	Mosley	move	Ecclestone	PERSON	PERSON
1.0	China	be on	calendar	LOCATION	0
1.0	cost	would	would upward of 35 million US dollar	0	MONEY
1.0	Formula	have	rights holder	O	O
1.0	return	have prove	vastly more in tourism receipt	0	0
1.0	Mosley	move	Grand Prix around world from its root	PERSON	MISC
1.0	Singapore 's street	host	race	LOCATION	0
1.0	city-state	have	streets	O	O
1.0	vibrant business region	be with	huge motorsport fan base	0	0
1.0	Bernie Ecclestone	be	quote	PERSON	0
1.0	cost	would	would upward	0	0
1.0	Mosley	move	Grand Prix around world from its traditional root	PERSON	MISC
1.0	at least two Singaporean groups	talk to	various party	0	0
0.753834455145123	South Korea	sign	contract	LOCATION	0
1.0	Mosley	move	Grand Prix around world from its traditional european root	PERSON	MISC
1.0	Mosley	move more	Grand Prix	PERSON	MISC
1.0	Bernie Ecclestone	be in	talk with at least two singaporean group	PERSON	NUMBER
1.0	Bernie Ecclestone	host grand prix around	street of city-state as early	PERSON	0
1.0	their	have	sights	O	O
1.0	Mosley	move	Grand Prix	PERSON	MISC
1.0	its	have	roots	O	O
1.0	max Mosley	president of	Federation Internationale de l'Automobile	PERSON	ORGANIZATION
1.0	Singapore	have	wide street	LOCATION	0
1.0	Bernie Ecclestone	with talk be	powerful commercial rights holder of Formula one	PERSON	0
1.0	Singapore	be	vibrant	LOCATION	0
0.753834455145123	South Korea	sign contract at_time	last year	LOCATION	DURATION
1.0	US dollars	have	upwards	O	MONEY
1.0	Singapore 's wide street	host	race	LOCATION	0
1.0	at least two Singaporean groups	have	something	0	0
1.0	return	have prove	more	0	0
1.0	max Mosley	be	last year	PERSON	DATE
0.753834455145123	South Korea	sign contract at_time	year	LOCATION	DURATION
1.0	you	will definitely know about	a race in Singapore	0	0
1.0	Mosley	move more	Grand Prix around world from its root	PERSON	MISC
1.0	Bernie Ecclestone	be in	talk with at least two group	PERSON	NUMBER
1.0	at least two Singaporean groups	talk about	race in Singapore	0	LOCATION
1.0	Singapore	be	welcome	LOCATION	0
1.0	Mosley	move more	Ecclestone	PERSON	PERSON
1.0	Asia	be in	they sight	LOCATION	0
1.0	race	be in	Singapore	0	LOCATION
1.0	newspaper	be	advanced	0	0
1.0	Mosley	move more	Grand Prix around world from its traditional european root	PERSON	MISC
1.0	talk	be with	at least two singaporean group	0	NUMBER
1.0	Bernie Ecclestone	host grand prix around	street of city-state	PERSON	0
1.0	Mosley	move more	Grand Prix around world from its traditional root	PERSON	MISC
1.0	Bernie Ecclestone	host	Grand Prix	PERSON	MISC
1.0	Singapore 's street	be see as	ideal	LOCATION	0
1.0	Singapore	build	circuit	0	0
