1.0	The United Nations	technical support to	electoral process	0	0
1.0	EU	have	executive body	O	ORGANIZATION
1.0	EU 's executive body	say at_time	Thursday	ORGANIZATION	DATE
1.0	election	be set	go despite boycott	0	0
1.0	people	have	have kill	0	0
1.0	election	be set	go ahead on January 22 by alliance lead by opposition Awami League	0	DATE
1.0	External Relations Commissioner Benita Ferrero-Waldner	say in	statement	0	0
1.0	election	be set	go ahead on January 22 by alliance lead	0	DATE
1.0	election	go ahead despite	boycott	0	0
1.0	election	go ahead by	alliance lead	0	0
1.0	The European Union	have	election observation mission	O	O
1.0	election	go by	alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	election	be set	go ahead by alliance	0	0
1.0	election	be set	go ahead on January 22 by alliance lead by main opposition Awami League	0	DATE
1.0	election observer	be in	Dhaka	0	LOCATION
1.0	election	be set	go ahead on January 22 despite boycott by alliance lead by main opposition Awami League	0	DATE
1.0	election	be set	go ahead by alliance lead by opposition Awami League	0	ORGANIZATION
1.0	election	go ahead by	alliance	0	0
1.0	election	be set	go ahead despite boycott	0	0
1.0	people	have	have kill in unrest	0	0
1.0	election	go by	alliance lead by opposition Awami League	0	ORGANIZATION
1.0	election	go by	alliance lead	0	0
1.0	nationalist Party	hand ago	power	ORGANIZATION	0
1.0	election	be set	go ahead	0	0
1.0	election	be	set	0	0
1.0	election	be set	go ahead on January 22 despite boycott by alliance lead by opposition Awami League	0	DATE
1.0	Party	hand ago	power	ORGANIZATION	0
1.0	election	be set	go ahead by alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	election	be set	go ahead on January 22 despite boycott	0	DATE
1.0	election	be set	go despite boycott by alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	election	go ahead by	alliance lead by opposition Awami League	0	ORGANIZATION
1.0	election	be set	go ahead on January 22 despite boycott by alliance lead	0	DATE
1.0	election	be set	go	0	0
1.0	election	be set	go ahead despite boycott by alliance lead by opposition Awami League	0	ORGANIZATION
1.0	election	be set	go by alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	election	be set	go despite boycott by alliance	0	0
1.0	election	be set	go by alliance	0	0
1.0	election	go despite	boycott	0	0
1.0	the electoral process	have	coordination office	O	O
1.0	election	be set	go ahead on January 22 by alliance	0	DATE
1.0	election	be set	go ahead despite boycott by alliance	0	0
1.0	election	be set	go by alliance lead	0	0
1.0	our	have	EU election observation mission	O	O
1.0	election	be set	go ahead by alliance lead	0	0
1.0	election	be set	go by alliance lead by opposition Awami League	0	ORGANIZATION
1.0	Party	hand	power	ORGANIZATION	0
1.0	election	be set	go ahead despite boycott by alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	election	be set	go despite boycott by alliance lead	0	0
1.0	EU	have	executive body	ORGANIZATION	0
1.0	election	go by	alliance	0	0
1.0	nationalist Party	hand	power	ORGANIZATION	0
1.0	election	go ahead by	alliance lead by main opposition Awami League	0	ORGANIZATION
1.0	United Nations	announce at_time	Thursday	ORGANIZATION	DATE
1.0	election	be set	go despite boycott by alliance lead by opposition Awami League	0	ORGANIZATION
1.0	election	be set	go ahead despite boycott by alliance lead	0	0
1.0	External Relations Commissioner Benita Ferrero-Waldner	say in	Brussels	0	LOCATION
1.0	election	be set	go ahead on January 22 despite boycott by alliance	0	DATE
1.0	election	be set	go ahead on January 22	0	DATE
1.0	people	have	have kill in pre-election unrest	0	0
