1.0	Francoise Cotta	be lawyer of	Naceri	PERSON	PERSON
1.0	he	drive without	licence in southern city	0	0
0.16092090867323494	Naceri -- who arrived at the club drunk , with two young women on his arm --	be	refuse	0	0
1.0	deputy prosecutor	tell	afp	0	0
1.0	he	earlier drive without	licence	0	0
1.0	star	be	arrest	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month	0	DURATION
1.0	he	drive without	licence	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for black policeman	0	DURATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for insulting black policeman	0	DURATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	resist	arrest	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for insulting black policeman	0	DURATION
1.0	Naceri 's lawyer Francoise Cotta	make	Friday 's hearing	ORGANIZATION	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison	0	DURATION
1.0	trial	give	time	0	0
1.0	Naceri 's lawyer Francoise Cotta	decline	comment	PERSON	0
1.0	Naceri 's lawyer Francoise Cotta	make	Friday 's hearing procedural	ORGANIZATION	DATE
1.0	he	drive without	licence in city of Marseille	0	LOCATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for policeman	0	DURATION
1.0	Aix-en-Provence	have	town	O	LOCATION
1.0	critically-acclaimed	have	star	O	O
1.0	Glory	have	Days	DURATION	O
1.0	Naceri 's lawyer Francoise Cotta	ther lawyer for	discotheque	ORGANIZATION	0
1.0	court	be in	France	0	LOCATION
1.0	Naceri	face	possible charge of attempt homicide	PERSON	0
1.0	Naceri 's lawyer Francoise Cotta	decline	everything	PERSON	0
1.0	he	earlier drive without	licence in southern city	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for insulting policeman	0	DURATION
1.0	he	earlier drive without	licence in city of Marseille	0	LOCATION
1.0	name	play	tough action hero	0	0
1.0	45-year-old star	be arrest at_time	Tuesday night	DURATION	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for policeman	0	DURATION
0.7568904730166717	time	four at	least	0	0
1.0	Samy Naceri	appear on	Friday	PERSON	DATE
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for black policeman	0	DURATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for racially insulting policeman	0	DURATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	have convict time for assault	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for insulting policeman	0	DURATION
1.0	Naceri	be treat for	jaw	PERSON	0
1.0	Samy Naceri	appear in	court	PERSON	0
1.0	six month	be in	prison for racially insulting black policeman	DURATION	0
1.0	Naceri	be	treat	PERSON	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	sentence	0	0
1.0	licence	be in	southern city of Marseille	0	LOCATION
1.0	name	play	action hero	0	0
1.0	Naceri 's lawyer Francoise Cotta	decline right	everything	PERSON	0
1.0	action films	have	Taxi series	O	O
1.0	he	drive without	licence in southern city of Marseille	0	LOCATION
1.0	Naceri	face	possible charge of homicide	PERSON	0
1.0	local deputy prosecutor	tell	afp	0	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence in	December	0	DATE
1.0	hot water	be with	law over series of violent incident	0	0
1.0	discotheque	have	violence	O	O
1.0	he	earlier drive without	licence in southern city of Marseille	0	LOCATION
1.0	Samy Naceri	appear in	court in southeastern France	PERSON	LOCATION
1.0	he	earlier drive without	licence in city	0	0
1.0	Naceri	fall during	brawl	PERSON	0
1.0	Naceri	have	lawyer Francoise Cotta	PERSON	PERSON
1.0	Naceri 's lawyer Francoise Cotta	decline right	comment	PERSON	0
1.0	star	be arrest at_time	Tuesday night	0	DATE
1.0	run-ins	have	string	O	O
1.0	Naceri 's lawyer Francoise Cotta	ther	lawyer	ORGANIZATION	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be	in December sentence to six month in prison for racially insulting black policeman	0	DURATION
1.0	Naceri	have	Francoise Cotta	PERSON	PERSON
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	have convict	0	0
0.8776405374046736	Naceri -- who arrived at the club drunk , with two young women on his arm --	draw	knife on doorman	0	0
1.0	homicide	have	charges	O	O
1.0	the critically-acclaimed `` Days of Glory ''	have	arm	O	O
1.0	Marseille	have	city	O	LOCATION
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	be sentence to	six month in prison for racially insulting black policeman	0	DURATION
1.0	Naceri	spark fight accord to	official	PERSON	0
0.9355885593598126	entry	draw	knife on doorman	0	0
0.8776405374046736	Naceri -- who arrived at the club drunk , with two young women on his arm --	draw	knife	0	0
1.0	Naceri 's lawyer Francoise Cotta	make	Friday 's hearing purely procedural	ORGANIZATION	DATE
1.0	Naceri	be treat for	injured jaw	PERSON	0
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	have convict for assault	0	0
1.0	most	have	Taxi series	O	O
1.0	45-year-old star	be	arrest	DURATION	0
1.0	Arab immigrants	have	son	O	O
1.0	incidents	have	series	O	O
1.0	The son of Arab immigrants who has made a name playing tough but sensitive action heros	have	since 2000 have convict time for assault	0	DATE
1.0	Friday	have	hearing purely procedural	DATE	0
1.0	Taxi series	have	star	O	O
0.9355885593598126	entry	draw	knife	0	0
1.0	knife	injure	Naceri -- who arrived at the club drunk , with two young women on his arm --	0	0
