1.0	Asha-Rose Migiro	be by	Tanzanian	PERSON	MISC
1.0	its	have	members	O	O
1.0	Bolton	have	have replace to Iraq Zalmay Khalilzad	PERSON	LOCATION
1.0	Bolton	have	have replace	PERSON	0
0.6507419979151178	Mark Malloch Brown	be pleased in	term	0	0
0.6507419979151178	Mark Malloch Brown	be	pleased	0	0
0.8798079919229772	Mark Malloch Brown	door for	he	0	0
0.6507419979151178	Mark Malloch Brown	be	very pleased	0	0
1.0	Brown	have	have succeed in he post by Tanzanian Foreign Minister Asha-Rose Migiro	PERSON	MISC
1.0	Brown	have	have succeed in he post	PERSON	0
1.0	its	have	relationships	O	O
1.0	Condi Rice	be	she team in Washington	PERSON	LOCATION
1.0	Britain	have	deputy	O	LOCATION
1.0	Britain 's former deputy UN chief on Tuesday attacked former US ambassador to the UN John Bolton , telling British broadcaster Channel 4 News he `` was not a very good ambassador '' .	be	good	0	0
1.0	Britain	have	former deputy	LOCATION	0
1.0	whose	have	term	O	O
1.0	John Bolton	be to	the UN	PERSON	ORGANIZATION
0.6507419979151178	Mark Malloch Brown	be very pleased in	term of sequence	0	0
0.6957493610311903	Condi Rice	secretary of	State	PERSON	ORGANIZATION
1.0	Condi Rice	be	she team	PERSON	0
1.0	State	have	Secretary	O	ORGANIZATION
1.0	Brown	have	have succeed by Tanzanian Foreign Minister Asha-Rose Migiro	PERSON	MISC
1.0	Brown	have	have succeed	PERSON	0
0.6507419979151178	Mark Malloch Brown	be very pleased in	term	0	0
1.0	United States	have	point	O	LOCATION
1.0	his	have	post	O	O
1.0	view	have	point	O	O
1.0	Bolton	have	have replace by former US ambassador to Iraq Zalmay Khalilzad	PERSON	LOCATION
1.0	she team	be in	Washington	0	LOCATION
0.6957493610311903	Condi Rice	secretary	she team in Washington	PERSON	LOCATION
0.6507419979151178	Mark Malloch Brown	be pleased in	term of sequence	0	0
1.0	sequence	have	terms	O	O
0.6957493610311903	Condi Rice	secretary	she team	PERSON	0
1.0	Bolton	have	have replace by former US ambassador	PERSON	LOCATION
1.0	her	have	team	O	O
