1.0	handelsblatt	be	daily	0	SET
1.0	force	pitch	proposal	0	0
1.0	she	meet in	bid	0	0
1.0	Russians	sustain	blackmail on energy	MISC	0
1.0	Merkel	break	Gerhard Schroeder 's uncritical stance towards Moscow	PERSON	LOCATION
1.0	Europe	be mistake	think	LOCATION	0
1.0	Paris	would join	force	LOCATION	0
1.0	deal	have	signing	O	O
1.0	shift	be in	relation with Russia	0	LOCATION
1.0	change	be in	Germany	0	LOCATION
1.0	she	meet in	bid to clear obstacle	0	0
1.0	this	calm	fear of Germany	0	LOCATION
1.0	Germany	have	fears	O	LOCATION
1.0	Merkel	break	Gerhard Schroeder 's stance	PERSON	PERSON
1.0	ex-chancellor	routinely urge patience with	pace of democratic reform	0	0
1.0	he	tell	AFP	0	ORGANIZATION
1.0	this way	need	its client	0	0
1.0	she	meet in	bid to obstacle	0	0
0.7502394260049371	the way Germany	presidency of	bloc	LOCATION	0
1.0	G8	have	chairwoman	O	O
1.0	observer	say on	Wednesday	0	DATE
1.0	Russia 's standoff	move towards	resolution on Wednesday	LOCATION	DATE
1.0	no longer needed Russia	have	energy resources	O	O
1.0	she	meet with	putin	0	0
1.0	Angela Merkel	be 's	german	PERSON	0
1.0	imports	have	half	O	O
1.0	ex-chancellor	routinely urge patience with	pace of reform	0	0
1.0	Merkel	send signal to	Moscow	PERSON	LOCATION
1.0	Gerhard Schroeder 's	be risk	he country 's long-standing reputation	0	0
1.0	ex-chancellor	routinely urge patience with	pace	0	0
1.0	Merkel	depend heavily on	Russia	PERSON	LOCATION
1.0	Germany	have	trust	LOCATION	0
1.0	Russia 's standoff	move towards	resolution	LOCATION	0
1.0	the way Germany	hold	presidency	LOCATION	0
1.0	Minsk	drop	its demand	LOCATION	0
1.0	it priority	steer european union towards	greater energy security six month	0	DURATION
1.0	greater energy security	be in	the next six month	0	DURATION
1.0	language Putin	have	kind	O	PERSON
1.0	ex-chancellor	urge patience with	pace of democratic reform	0	0
1.0	it priority	steer european union towards	energy security six month	0	DURATION
1.0	it priority	steer european union towards	energy security	0	0
1.0	this	calm	fear	0	0
1.0	Gerhard Schroeder 's	have	country	O	O
1.0	relation	be with	no longer needed Russia	0	LOCATION
1.0	ex-chancellor	urge patience in	no longer needed Russia	0	LOCATION
1.0	Schroeder	have	stance	O	PERSON
1.0	Her	have	words	O	O
1.0	country	have	long-standing reputation as reliable energy supplier	0	0
1.0	the European Union	be already frustrate at	Moscow 's refusal	ORGANIZATION	LOCATION
1.0	Gerhard Schroeder 's	be risk	he country 's long-standing reputation as reliable energy supplier	0	0
1.0	bloc	have	presidency	O	O
1.0	ex-chancellor	make	Germany Russia 's closest EU partner	0	LOCATION
1.0	force	pitch	constructive proposal	0	0
1.0	the European Union	be frustrate at	Moscow 's refusal	ORGANIZATION	LOCATION
1.0	Gerhard Schroeder 's	oversee	signing	PERSON	0
1.0	Europe	think	it need Russia	LOCATION	LOCATION
1.0	Russia	have	standoff	O	LOCATION
1.0	Merkel	break	Gerhard Schroeder 's uncritical stance	PERSON	PERSON
1.0	ex-chancellor	routinely urge patience in	no longer needed Russia	0	LOCATION
1.0	she	meet in	bid to obstacle to accord	0	0
1.0	it priority	steer	European Union	0	ORGANIZATION
1.0	Andreas Schockenhoff	expert on	relation with Russia	PERSON	LOCATION
1.0	Russia	have	standoff with Belarus	LOCATION	LOCATION
1.0	its	have	oil supplies	O	O
1.0	Germany	have	trust	O	LOCATION
1.0	putin	be in	Moscow	0	LOCATION
1.0	Merkel	send	signal	PERSON	0
1.0	Merkel	be	wary	PERSON	0
1.0	the European Union	be	already frustrate	ORGANIZATION	0
1.0	the way Germany	hold	presidency of bloc	LOCATION	0
1.0	reform	have	pace	O	O
1.0	Gerhard Schroeder 's	be risk	he country 's reputation	0	0
0.536066213907059	Russia	betray	Germany 's trust	LOCATION	LOCATION
1.0	she	meet with	putin in Moscow	0	LOCATION
1.0	ex-chancellor	routinely urge	patience	0	0
1.0	its	have	demand	O	O
1.0	Gerhard Schroeder 's	build	gas pipeline	PERSON	0
1.0	Europe	have	demands	O	LOCATION
1.0	it priority	steer european union towards	greater energy security next six month	0	DURATION
1.0	ex-chancellor	urge patience with	pace	0	0
1.0	EU	have	president	O	ORGANIZATION
1.0	gas giant Gazprom	have	subsidiary	O	ORGANIZATION
1.0	Alexander Rahr	say by	first	PERSON	ORDINAL
1.0	revival	have	result	O	O
1.0	it priority	steer european union towards	energy security next six month	0	DURATION
1.0	demands	have	ratify	O	O
1.0	Europe	think	it Russia	LOCATION	LOCATION
1.0	force	pitch proposal to	Moscow	0	LOCATION
1.0	EU	of	import	ORGANIZATION	0
1.0	she	meet in	bid to clear obstacle to accord	0	0
1.0	Moscow	be on	January 21	LOCATION	DATE
1.0	EU	have	imports	O	ORGANIZATION
1.0	Chancellor Angela Merkel	have	rebuke	O	PERSON
0.5120846710862627	tap pipeline	run to	Czech Republic	0	LOCATION
1.0	Europe	be	mistake	LOCATION	0
1.0	Russia	be via	Baltic Sea	LOCATION	LOCATION
1.0	country	have	reputation	O	O
1.0	Moscow	at	refusal ratify because demand for access to russian pipeline	LOCATION	0
1.0	its	have	EU partners	O	O
1.0	German Chancellor Angela Merkel 's	have	readiness	O	O
1.0	ex-chancellor	make	Germany Russia 's EU partner	0	LOCATION
1.0	day	be	go	0	0
1.0	ex-chancellor	urge patience with	pace of reform	0	0
0.5120846710862627	tap pipeline	run through	Belarus	0	LOCATION
1.0	which	have	like	O	O
1.0	Merkel	have	predecessor	O	O
1.0	Germany Russia	have	EU partner	O	LOCATION
1.0	Angela Merkel	have	rebuke to Russia cut to Europe	PERSON	LOCATION
1.0	Merkel	accuse	Russia	PERSON	LOCATION
1.0	Gerhard Schroeder 's	oversee	signing of deal	PERSON	0
1.0	Russia	be to	western Europe	LOCATION	LOCATION
1.0	Gerhard Schroeder	have	stance	O	PERSON
1.0	Germany Russia	have	closest EU partner	LOCATION	LOCATION
1.0	she	speak as	president	0	0
1.0	Merkel	make	it priority	PERSON	0
1.0	this	be	unlikely	0	0
1.0	Merkel	be in	contrast	PERSON	0
1.0	Moscow	have	refusal	O	LOCATION
1.0	tie	be with	United States	0	LOCATION
1.0	Merkel	depend heavily on	Russia for oil	PERSON	LOCATION
1.0	Merkel	depend on	Russia for oil	PERSON	LOCATION
