1.0	Japan	be on	Saturday	LOCATION	DATE
1.0	taxiway	stretch	2,500 meter	0	NUMBER
1.0	Korean Air	have	manager	O	ORGANIZATION
1.0	we	cause trouble to	passenger	0	0
1.0	taxiway	stretch	2,730 yard	0	NUMBER
1.0	provincial airport	be in	Japan	0	LOCATION
1.0	runway	have	width	O	O
1.0	we	cause trouble to	passenger on return flight	0	0
1.0	runway	have	taxiway	O	O
1.0	Incheon	be in	South Korea	LOCATION	LOCATION
1.0	Tokyo	have	north	O	LOCATION
1.0	incident	have	time	DATE	O
1.0	Korean Air jet	be with	133 people on board	MISC	NUMBER
1.0	inquiry	have	cancelled	O	O
1.0	Korean Air	be in	Akita	ORGANIZATION	LOCATION
1.0	taxiway	run parallel to	runway	0	0
1.0	we	cause	trouble	0	0
1.0	Akita airport	of	runway	LOCATION	0
1.0	wide taxiway	width of	Akita airport 's runway	0	LOCATION
1.0	Hidehiro Tokuyama	manager of	Korean Air	PERSON	ORGANIZATION
1.0	A Korean Air jet with 133 people on board	have	runway	O	O
1.0	taxiway	run	parallel	0	0
1.0	Akita airport	have	runway	O	O
