1.0	midnight	have	stroke	O	TIME
1.0	weather	meanwhile force	cancellation of festivity in New Zealand	0	LOCATION
1.0	their	have	knives	O	O
1.0	reveller	be reportedly turn away in	Moscow	0	LOCATION
1.0	reveller	be turn from	Red Square	0	LOCATION
1.0	New Year	coincide with	festival of Eid al-Adha	DATE	0
1.0	they	struggle goat at	start	0	0
1.0	Bulgaria	see	Romania	LOCATION	LOCATION
1.0	capacity 15,000 crowd	once fill	square	NUMBER	0
1.0	parts	have	cancellation	O	O
1.0	authority	cancel	traditional year fiesta in city centre	0	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by separatist group ETA	0	DATE
1.0	Berlin 's Brandenburg Gate	attend festivity at	capital	LOCATION	0
1.0	authority	cancel	traditional new year fiesta in city centre	0	0
1.0	river thame	be in	London	0	LOCATION
1.0	Wellington	be in	New Zealand	LOCATION	LOCATION
1.0	authority	cancel	traditional new year fiesta	0	0
1.0	2007	bring	change	DATE	0
1.0	authority	also cancel	year fiesta	0	0
1.0	Scotland	for	biggest holiday	LOCATION	DATE
1.0	authority	cancel	new year fiesta	0	0
1.0	two country	become	26th member	NUMBER	ORDINAL
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast	0	DATE
1.0	cheer	display over	house of Parliament 's famous clock tower	0	ORGANIZATION
1.0	foreigner	be in	wave of unexplained blast	0	0
1.0	reveller	be turn away in	Moscow	0	LOCATION
1.0	reveller	be reportedly turn from	Red Square	0	LOCATION
0.298122624548545	they	struggle at	start of feast	0	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by basque separatist group ETA	0	DATE
1.0	600 people	take	love say	NUMBER	0
1.0	miles	have	winds	O	O
1.0	they	struggle goat during	attempt	0	0
1.0	weather	meanwhile force	cancellation of festivity	0	0
1.0	cheer	display over	house	0	0
1.0	thousands	have	Hundreds	O	O
1.0	weather	force	cancellation	0	0
1.0	annual outdoor New Year 's Eve party	be in	Wellington	DATE	LOCATION
1.0	police	avert	potential	0	0
0.7518586207057653	goat	start	bull	0	0
1.0	New Year festivity	be sour by	violence	DATE	0
1.0	estimate people	throng in	Australia	0	LOCATION
1.0	celebration	be in	northern irish capital of Belfast	0	LOCATION
1.0	trio	ring in	New Year	0	DATE
1.0	bombing	cut	celebration	0	0
1.0	authority	cancel	new year fiesta in city centre	0	0
1.0	world	have	tallest observation wheel	0	0
1.0	the armed Basque separatist group ETA	be by	basque	ORGANIZATION	0
1.0	weather	force	cancellation of festivity	0	0
1.0	New Year 's	have	celebration in year	DATE	0
