1.0	Ewen Cameron	be at	McGill University 's Allan Memorial Institute	PERSON	ORGANIZATION
1.0	her lawyer Alan Stein	ask court on	Wednesday	PERSON	DATE
1.0	she	be force	rely entirely on she mother for decade	0	DURATION
1.0	Ottawa	compensate	one 250 neglect victim inspiring	LOCATION	NUMBER
1.0	she appeal	be	late	DURATION	DURATION
1.0	Janine Huard	have	personality	O	O
1.0	she	be force	rely entirely on she mother for decade afterwards	0	DURATION
1.0	lsd	be in	attempt at mind control	0	0
1.0	she	be	force	0	0
1.0	she appeal	be	too late almost	DURATION	DURATION
1.0	government	have deny	culpability	0	0
1.0	Janine Huard	force	listen to record message	0	DURATION
1.0	university	involve	institution	0	0
1.0	Huard	have	class action lawsuit	PERSON	0
1.0	she	be force	rely	0	0
1.0	Janine Huard	be also leave in	room	0	0
1.0	she	be	unable	0	DURATION
1.0	she	be force	rely on she mother	0	0
1.0	she	be deny	damages	0	DURATION
1.0	she memory	re-forge	she personality	0	0
1.0	victims	have	one	NUMBER	O
1.0	Cameron	have	depatterning program	O	PERSON
1.0	limitations	have	statute	O	O
1.0	Huard	have	class action lawsuit	O	PERSON
1.0	her	have	treatment	O	O
1.0	her	have	mother	O	O
1.0	Ottawa	compensate	one 250 victim	LOCATION	NUMBER
1.0	Ottawa	compensate	one of 250 victim inspiring	LOCATION	NUMBER
1.0	Janine Huard	be leave in	room	0	0
1.0	federal court	extend	statute of limitation for restitution	0	0
1.0	Cameron	pioneer	technique	PERSON	0
1.0	Ottawa	compensate	one of 250 victim	LOCATION	NUMBER
1.0	their	have	injuries	O	O
1.0	federal court	extend	statute	0	0
1.0	her lawyer Alan Stein	ask	federal court	PERSON	0
1.0	her	have	fight	O	O
1.0	Janine Huard	be	also leave	0	DURATION
1.0	her lawyer Alan Stein	say give	Huard	PERSON	PERSON
1.0	court	have	decision	O	O
1.0	its	have	Project MK	O	O
1.0	Ottawa	compensate	one of 250 neglect victim inspiring	LOCATION	NUMBER
1.0	depatterning program	have	part	O	O
1.0	her	have	children	O	O
1.0	she appeal	be	too late almost decade	DURATION	DURATION
1.0	her lawyer Alan Stein	say give	Huard follow she admission to hospital for depression	PERSON	PERSON
1.0	a Canadian federal court	have	complicity	O	O
1.0	Janine Huard	have	admission	O	O
1.0	she appeal	be	too late	DURATION	DURATION
1.0	victims	have	hundreds	O	O
1.0	she	be force	rely entirely on she mother	0	0
1.0	she	be first deny	damages	0	DURATION
1.0	her lawyer Alan Stein	say give	Huard follow she admission	PERSON	PERSON
1.0	her lawyer Alan Stein	say give	Huard follow she admission to hospital for mild depression	PERSON	PERSON
1.0	Janine Huard	force	listen to message say	0	DURATION
1.0	Janine Huard	have	lawyer Alan Stein	PERSON	O
1.0	Cameron	of	depatterning program	PERSON	0
1.0	her	have	appeal	O	O
1.0	Janine Huard	be leave in	dark room	0	DURATION
1.0	her lawyer Alan Stein	give	birth	PERSON	0
1.0	Janine Huard	force	listen to message	0	DURATION
1.0	she	be force	rely on she mother for decade	0	DURATION
1.0	idea	erase	she memory	0	0
1.0	30 university	involve	institution	NUMBER	0
1.0	A Montreal woman who was brainwashed almost 50 years ago	have	reparations	O	O
1.0	Ottawa	compensate	one of 250 neglect victim	LOCATION	NUMBER
1.0	she treatment	tell	canadian media	DURATION	DURATION
1.0	victims	have	up step	O	O
1.0	Janine Huard	force	listen	0	0
1.0	she appeal	be	late almost decade	DURATION	DURATION
1.0	hundreds	have	reparations	O	O
1.0	she	be force	rely on she mother for decade afterwards	0	DURATION
1.0	her lawyer Alan Stein	say give	Huard follow she admission to hospital	PERSON	PERSON
1.0	canadian government	have deny culpability in	affair	0	0
1.0	McGill University	have	Allan Memorial Institute	ORGANIZATION	ORGANIZATION
1.0	Janine Huard	force	listen to record message say	0	DURATION
1.0	Janine Huard	be	leave	0	DURATION
1.0	court	extend	statute of limitation	0	0
1.0	she treatment	tell	media	DURATION	DURATION
1.0	she	care for	she child	0	0
1.0	Ottawa	compensate	one 250 neglect victim	LOCATION	NUMBER
1.0	government	have deny culpability in	affair	0	0
1.0	court 's decision	be	pend	0	0
1.0	files	have	Much	O	O
1.0	court	extend	statute of limitation for restitution	0	0
1.0	federal court	extend	statute of limitation	0	0
1.0	court	extend	statute	0	0
1.0	court	have	decision	0	0
1.0	Janine Huard	be also leave in	dark room	0	DURATION
1.0	she	be force	rely entirely	0	0
1.0	Janine Huard	be	bad	0	DURATION
1.0	Project MK	have	part	O	O
1.0	Ottawa	compensate	one 250 victim inspiring	LOCATION	NUMBER
1.0	Janine Huard	have	children	O	O
1.0	her lawyer Alan Stein	ask	court	PERSON	0
1.0	canadian government	have deny	culpability	0	0
1.0	Janine Huard	have	memories	O	O
1.0	scottish-born Cameron	pioneer	technique	PERSON	0
1.0	she lawyer Alan Stein	tell	AFP	PERSON	ORGANIZATION
1.0	mind control experiments	have	victims	O	O
1.0	statute	certify	Huard 's class action lawsuit	0	PERSON
1.0	she appeal	be	late almost	DURATION	DURATION
