1.0	Mahmoud Ahmadinejad	be on	Wednesday	PERSON	DATE
1.0	Tehran	soon launch production for	use	LOCATION	0
1.0	Iran 's	develop weapon under	cover	LOCATION	0
1.0	Tehran	launch	production of fuel	LOCATION	0
1.0	Isfahan	have	city	O	LOCATION
1.0	Iran	have	Energy Organisation	ORGANIZATION	LOCATION
1.0	feedstock	have	said	O	O
1.0	Iran 's	develop weapon under	cover of program	LOCATION	0
0.6352311791522296	Tehran	production of	fuel	LOCATION	0
1.0	its	have	program	O	O
1.0	Tehran	launch production for	industrial use	LOCATION	0
1.0	Tehran	soon launch	production of nuclear fuel	LOCATION	0
1.0	Iran	of	atomic Energy Organisation	LOCATION	ORGANIZATION
1.0	our	have	country	O	O
1.0	UN security Council	impose sanction on	Iran 's	ORGANIZATION	LOCATION
1.0	Iran 's	develop weapon under	cover of nuclear program	LOCATION	0
1.0	UF6	have	tons	O	O
1.0	program	have	cover	O	O
1.0	UN security Council	vote on	December 23	ORGANIZATION	DATE
1.0	UN security Council	impose	sanction	ORGANIZATION	0
1.0	atom bomb	have	core	O	O
1.0	Tehran	launch	production of nuclear fuel	LOCATION	0
1.0	Iran 's	develop weapon under	cover of civilian nuclear program	LOCATION	0
1.0	Tehran	launch	production	LOCATION	0
1.0	Tehran	soon launch	production	LOCATION	0
1.0	Energy Organisation	have	head	O	ORGANIZATION
1.0	Tehran	launch production for	use	LOCATION	0
1.0	conversion facility	be in	central city of Isfahan	0	LOCATION
0.6352311791522296	Tehran	production of	nuclear fuel	LOCATION	0
1.0	Tehran	soon launch production for	industrial use	LOCATION	0
1.0	Tehran	soon launch	production of fuel	LOCATION	0
1.0	UF6 gas	have	tons	O	O
1.0	fuel	have	production	O	O
1.0	his	have	country	O	O
1.0	Iran 's	develop	weapon	LOCATION	0
1.0	feedstock	have	tons	O	O
1.0	Iran 's	develop weapon under	cover of civilian program	LOCATION	0
1.0	UN security Council	vote unanimously on	December 23	ORGANIZATION	DATE
