1.0	month	be with	political crisis	0	0
1.0	pregnant Talmanova	ask	distraught 50-year-old premier	PERSON	DURATION
1.0	Talmanova	ask	premier	PERSON	0
1.0	Topolanek	have	have take to task	PERSON	0
1.0	her	have	husband	O	O
1.0	Topolanek	's wife be	Pavla	PERSON	PERSON
1.0	a healthy baby	have	mistress	O	O
1.0	a healthy baby	have	government	O	O
1.0	situation	be	different	0	0
1.0	situation	be very different from	US	0	LOCATION
1.0	experts	have	one	NUMBER	O
1.0	affair	have	have open secret for month	0	0
1.0	blesk	show	visibly pregnant Talmanova	0	PERSON
1.0	Topolanek 's wife	dampen	fervor	PERSON	0
1.0	Topolanek	seal	deal	PERSON	0
1.0	Czechs	have expectation regard	quality of they politician	MISC	0
1.0	popular daily	proclaim on	Friday	SET	DATE
1.0	Mirek Topolanek	have	mistress	O	O
0.6695902250859599	he	will explain	himself	0	0
1.0	Czech Prime Minister Mirek Topolanek	be face	domestic one	PERSON	NUMBER
1.0	Topolanek 's wife	have do	nothing	PERSON	0
1.0	politicians	have	qualities	O	O
1.0	blesk	show talmanova in	cartoon	0	0
1.0	everything	be at	stake	0	0
1.0	capital	have	branch	O	O
0.7428636266433326	Czechs	moral quality of	they politician	MISC	0
1.0	party	have	branch	O	O
1.0	Talmanova	ask	distraught 50-year-old premier	PERSON	DURATION
1.0	opaque communique	call on	she husband	0	0
1.0	the past	in wife be	Pavla	DATE	PERSON
1.0	winner	secure	parliamentary vote	0	0
1.0	extra-marital affair	can destroy	career	0	0
1.0	Talmanova	ask	50-year-old premier	PERSON	DURATION
1.0	what	have	say	O	O
1.0	election	have	winner	O	O
1.0	communique	call on	she husband	0	0
1.0	marriage	have	future	DATE	O
1.0	newspaper Lidove Noviny	describe	situation	PERSON	0
0.8081425547522075	newspaper	report at_time	Friday	0	DATE
1.0	confidence	have	vote	O	O
0.9155247248875604	Czech Prime Minister Mirek Topolanek	confront for	month crisis	PERSON	0
1.0	everything	be at	now stake for he	0	DATE
1.0	his	have	attempt	O	O
1.0	Czechs	have scarcely expectation regard	quality	MISC	0
0.9155247248875604	Czech Prime Minister Mirek Topolanek	confront for	month political crisis	PERSON	0
1.0	the Premier	have	extra	O	O
1.0	Pavla	be wife of	Topolanek	PERSON	PERSON
1.0	Topolanek	have	throat	O	PERSON
1.0	election	have	publicised	O	O
1.0	newspaper Lidove Noviny	describe situation as	knife at Topolanek 's throat	PERSON	PERSON
0.7428636266433326	Czechs	quality of	they politician	MISC	0
1.0	Topolanek 's world	be	collapse	PERSON	0
1.0	situation	be different from	US	0	LOCATION
0.9155247248875604	Czech Prime Minister Mirek Topolanek	confront for	month	PERSON	0
1.0	Czechs	have expectation regard	moral quality	MISC	0
1.0	Czechs	have scarcely expectation regard	quality of they politician	MISC	0
1.0	their	have	politicians	O	O
1.0	pregnant Talmanova	ask	50-year-old premier	PERSON	DURATION
1.0	Mirek Topolanek	have	moves	O	O
1.0	stress	have	subject	O	O
1.0	affair	have	have open secret	0	0
1.0	Czech Prime Minister Mirek Topolanek	be now face	domestic one	PERSON	NUMBER
1.0	Topolanek 's wife	be in	the past	PERSON	DATE
1.0	pregnant Talmanova	ask	distraught premier	PERSON	0
1.0	Czechs	have scarcely expectation regard	moral quality of they politician	MISC	0
1.0	Topolanek	have	world	PERSON	0
1.0	press	have report	fact	0	0
1.0	winner	fail in	he first attempt	0	ORDINAL
1.0	he	party	the visibly pregnant Talmanova	0	PERSON
1.0	June	of	election	DATE	0
1.0	Mirek Topolanek	be	Czech	PERSON	MISC
1.0	June	have	election	O	DATE
1.0	Topolanek	have	lives	O	PERSON
1.0	top-selling popular daily	proclaim on	Friday	SET	DATE
1.0	blesk	show	Talmanova	0	PERSON
1.0	Talmanova	ask	distraught premier	PERSON	0
1.0	Czechs	have scarcely expectation regard	moral quality	MISC	0
1.0	everything	be at	now stake	0	DATE
1.0	situation	be	very different	0	0
1.0	Czechs	have expectation regard	moral quality of they politician	MISC	0
1.0	affair	have	have secret	0	0
1.0	newspaper Lidove Noviny	describe situation as	knife	PERSON	0
1.0	blesk	show	pregnant Talmanova	0	PERSON
1.0	Topolanek	have	have take	PERSON	0
1.0	winner	fail in	he attempt	0	0
1.0	three	have	father	O	NUMBER
1.0	a healthy baby	have	family	O	O
1.0	her	have	acumen	O	O
1.0	Mirek Topolanek	have	party	O	O
1.0	his	have	marriage	O	O
1.0	Topolanek	have	wife in past compare Hilary Clinton for political acumen	PERSON	PERSON
1.0	local press	have report	fact	0	0
1.0	affair	can destroy	career	0	0
1.0	the Premier	have	election	O	O
1.0	winner	secure vote in	October	0	DATE
1.0	Topolanek	at	throat	PERSON	0
1.0	Topolanek	have	world	O	PERSON
1.0	Mirek Topolanek	have	decision	O	O
1.0	everything	be at	stake for he	0	0
1.0	winner	secure	vote	0	0
1.0	his	have	shot	O	O
1.0	Topolanek	in	public life	PERSON	0
1.0	Topolanek	hurriedly seal	deal	PERSON	0
1.0	winner	secure	parliamentary vote of confidence	0	0
1.0	his	have	future	DATE	O
0.8081425547522075	czech newspaper	report at_time	Friday	0	DATE
1.0	Czechs	have expectation regard	quality	MISC	0
1.0	pregnant Talmanova	ask	premier	PERSON	0
1.0	Topolanek	have	wife	O	PERSON
1.0	affair	be	open	0	0
1.0	affair	have	have secret for month	0	0
1.0	the married father of three	have	Civic Democrat party	O	O
1.0	Vaclav Klaus	have	relations	O	PERSON
1.0	daily	proclaim on	Friday	SET	DATE
1.0	winner	secure	vote of confidence	0	0
