1.0	Vladimir Putin	be between	Russian	PERSON	MISC
1.0	its neighbour	pump to	Europe	0	LOCATION
1.0	Moscow	have	main demand	LOCATION	0
1.0	we negotiation	be	always pragmatic	0	0
1.0	contracts	have	vulnerability	O	O
1.0	we colleague	hold talk over	past two day	0	DURATION
0.17974797504936701	Russia	continue at_time	Friday	LOCATION	DATE
1.0	Russia	create	joint state	LOCATION	0
1.0	its neighbour	pump about	80,000 tonne of crude oil	0	NUMBER
1.0	its ex-soviet neighbour	pump about	80,000 tonne of crude oil	0	NUMBER
1.0	International Energy Agency	have	Council	ORGANIZATION	ORGANIZATION
0.8163753921758726	Belarus	cancel tax on	oil pass to Europe	LOCATION	LOCATION
1.0	Moscow	have	demand	O	LOCATION
1.0	crisis	have show up	vulnerability	0	0
1.0	Russia 's Prime Minister Mikhail Fradkov	take pause in	they talk	LOCATION	DATE
1.0	we negotiation	be	pragmatic	0	0
1.0	Europe	have	Assembly	ORGANIZATION	ORGANIZATION
1.0	resolution	have	details	O	O
1.0	impasse	be	break after telephone conversation with detail	0	0
1.0	impasse	be	break after telephone conversation between Russian President Vladimir Putin with detail of resolution finalise	0	PERSON
1.0	Belarus	return to	system	LOCATION	0
1.0	Russia	continue	Belarus	LOCATION	LOCATION
1.0	Our	have	negotiations	O	O
0.17974797504936701	Russia	continue	Belarus	LOCATION	LOCATION
1.0	oil exports	have	third	ORDINAL	O
1.0	Andrei Sharonov	be	russian	PERSON	0
0.8163753921758726	Belarus	cancel	tax	LOCATION	0
1.0	Russia	impose	its export tax	LOCATION	0
1.0	Assembly	have	Council	ORGANIZATION	ORGANIZATION
1.0	it	sell	it	0	0
1.0	Moscow	have	reputation	O	LOCATION
1.0	impasse	be	break after telephone conversation between Russian President Vladimir Putin with detail	0	PERSON
1.0	Mikhail Fradkov	voice	hope	PERSON	0
1.0	Russia	be in	its turn	LOCATION	0
1.0	impasse	be break after	telephone conversation between Russian President Vladimir Putin	0	PERSON
1.0	Russia	have	union state	O	LOCATION
1.0	interruption	spark	sharp criticism of Moscow 's handling	0	ORGANIZATION
1.0	impasse	be	break after telephone conversation with detail of resolution	0	0
1.0	Deputy Economic Development Minister Andrei Sharonov	say at_time	Thursday	PERSON	DATE
1.0	his	have	President Alexander Lukashenko	PERSON	O
1.0	its ex-soviet neighbour	pump to	Europe	0	LOCATION
1.0	Russia 's Prime Minister Mikhail Fradkov	take pause in	hour	LOCATION	0
1.0	Eight	have	Group	O	NUMBER
1.0	Belarus	transfer to	Moscow part	LOCATION	LOCATION
1.0	interruption	spark	sharp criticism of Moscow 's handling of crisis	0	ORGANIZATION
1.0	Russia 's Prime Minister Mikhail Fradkov	take	brief pause	LOCATION	0
