1.0	group	about	interest in Suez	0	ORGANIZATION
1.0	matter	be interest in	Suez of business heavyweight Francois Pinault	0	PERSON
0.07544485706203907	market regulator AMF	state regard	Suez	ORGANIZATION	ORGANIZATION
1.0	he remark	be	carry	0	0
1.0	complicate matter	further be interest in	Suez of french business Francois Pinault	0	PERSON
1.0	matter	further be reported interest in	Suez of business Francois Pinault	0	PERSON
1.0	french government	announce tie-up at_time	last February	0	DATE
1.0	matter	be interest in	Suez of french business Francois Pinault	0	PERSON
1.0	managing director Fulvio Conti	ask about	he group 's interest in Suez	0	ORGANIZATION
1.0	french financial market regulator AMF	have give pinault until	February 2	ORGANIZATION	DATE
1.0	french energy sector	be	fully open to competition	0	0
1.0	managing director Fulvio Conti	have	group	O	O
1.0	matter	be interest in	Suez	0	ORGANIZATION
1.0	matter	be interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	matter	further be reported interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	AMF	be	french	ORGANIZATION	0
1.0	energy sector	be	open	0	0
1.0	group	have	interest	O	O
1.0	matter	be reported interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	matter	be reported interest in	Suez	0	ORGANIZATION
1.0	french energy sector	be fully open to	competition	0	0
1.0	complicate matter	further be reported interest in	Suez	0	ORGANIZATION
1.0	financial market regulator AMF	have give	Pinault	ORGANIZATION	PERSON
1.0	France	have	gas supplier	O	LOCATION
1.0	complicate matter	further be reported interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	Francois Pinault	be of	french	PERSON	0
1.0	energy sector	be	fully open to competition	0	0
1.0	french financial market regulator AMF	state	he intention	ORGANIZATION	0
1.0	matter	be	further interest	0	0
1.0	he remark	be carry by	italian news agency	0	0
1.0	complicate matter	further be reported interest in	Suez of french business Francois Pinault	0	PERSON
1.0	GDF	have	privatization	O	ORGANIZATION
1.0	matter	further be interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	complicate matter	be reported interest in	Suez	0	ORGANIZATION
1.0	complicate matter	be reported interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	french financial market regulator AMF	have give	Pinault	ORGANIZATION	PERSON
1.0	matter	be interest in	Suez of business Francois Pinault	0	PERSON
1.0	french energy sector	be	open to competition	0	0
1.0	he group 's interest	be in	Suez	0	ORGANIZATION
0.07544485706203907	french market regulator AMF	state regard	Suez	ORGANIZATION	ORGANIZATION
1.0	matter	be reported interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	french energy sector	be open to	competition	0	0
1.0	complicate matter	further be reported interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	complicate matter	be reported interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	french energy sector	be	fully open	0	0
1.0	trade unions	have	objections	O	O
1.0	matter	be reported interest in	Suez of business Francois Pinault	0	PERSON
1.0	energy sector	be fully open to	competition	0	0
1.0	complicate matter	be reported interest in	Suez of french business Francois Pinault	0	PERSON
1.0	consolidation	be in	Europe	0	LOCATION
1.0	market regulator AMF	have give	Pinault	ORGANIZATION	PERSON
1.0	complicate matter	be interest in	Suez	0	ORGANIZATION
1.0	financial market regulator AMF	have give pinault until	February 2	ORGANIZATION	DATE
1.0	Suez	merge gdf with	France 's state-controlled gas supplier	ORGANIZATION	LOCATION
1.0	government	announce tie-up at_time	last February	0	DATE
1.0	complicate matter	be	interest	0	0
1.0	matter	further be interest in	Suez of business Francois Pinault	0	PERSON
1.0	french market regulator AMF	state	he intention	ORGANIZATION	0
1.0	energy sector	be	open to competition	0	0
1.0	matter	further be interest in	Suez	0	ORGANIZATION
1.0	french market regulator AMF	have give	Pinault	ORGANIZATION	PERSON
1.0	complicate matter	be interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	complicate matter	further be interest in	Suez of business Francois Pinault	0	PERSON
1.0	he remark	be carry by	news agency	0	0
1.0	matter	further be reported interest in	Suez of french business Francois Pinault	0	PERSON
1.0	government	announce	tie-up	0	0
0.07544485706203907	french financial market regulator AMF	state regard	Suez	ORGANIZATION	ORGANIZATION
1.0	market regulator AMF	state	he intention	ORGANIZATION	0
1.0	market regulator AMF	have give pinault until	February 2	ORGANIZATION	DATE
1.0	complicate matter	be	reported interest	0	0
1.0	french government	announce	propose tie-up	0	0
1.0	energy sector	be	fully open	0	0
1.0	french energy sector	be	open	0	0
1.0	french market regulator AMF	have give pinault until	February 2	ORGANIZATION	DATE
1.0	France	with	state-controlled gas supplier	LOCATION	0
1.0	Suez	merge gdf with	France 's gas supplier	ORGANIZATION	LOCATION
1.0	matter	further be interest in	Suez of french business Francois Pinault	0	PERSON
1.0	complicate matter	be	further reported interest	0	0
1.0	french government	announce tie-up at_time	February	0	DATE
1.0	financial market regulator AMF	state	he intention	ORGANIZATION	0
1.0	matter	be	interest	0	0
1.0	energy sector	be open to	competition	0	0
1.0	complicate matter	be interest in	Suez of french business Francois Pinault	0	PERSON
0.07544485706203907	financial market regulator AMF	state regard	Suez	ORGANIZATION	ORGANIZATION
1.0	matter	be	further reported interest	0	0
1.0	complicate matter	further be interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	his	have	intentions	O	O
1.0	complicate matter	further be interest in	Suez	0	ORGANIZATION
1.0	matter	be reported interest in	Suez of french business Francois Pinault	0	PERSON
1.0	managing director Fulvio Conti	ask about	he group 's interest	0	0
1.0	managing director Fulvio Conti	have	remarks	O	O
1.0	matter	further be reported interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	reported interest	be in	Suez	0	ORGANIZATION
1.0	complicate matter	be interest in	Suez of business Francois Pinault	0	PERSON
1.0	complicate matter	further be interest in	Suez of business heavyweight Francois Pinault	0	PERSON
1.0	government	announce	propose tie-up	0	0
1.0	complicate matter	be reported interest in	Suez of business Francois Pinault	0	PERSON
1.0	Socialist opposition	have	objections	O	O
1.0	managing director Fulvio Conti	say in	Brussels	0	LOCATION
1.0	government	announce tie-up at_time	February	0	DATE
1.0	Suez	be of	Francois Pinault	ORGANIZATION	PERSON
1.0	complicate matter	further be reported interest in	Suez of business Francois Pinault	0	PERSON
1.0	court ruling	have delay	merger	0	0
1.0	matter	be	reported interest	0	0
1.0	french government	announce	tie-up	0	0
1.0	matter	further be reported interest in	Suez	0	ORGANIZATION
1.0	Suez	merge	GDF	ORGANIZATION	ORGANIZATION
1.0	complicate matter	be interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	business Francois Pinault	have	Suez	ORGANIZATION	PERSON
1.0	Enel	be	italian	ORGANIZATION	0
1.0	matter	further be interest in	Suez of french business heavyweight Francois Pinault	0	PERSON
1.0	complicate matter	be	further interest	0	0
