1.0	he destination	island of	Antigua	0	LOCATION
1.0	he	destination	Caribbean island of Antigua	0	LOCATION
1.0	he	go back to	school just north	0	0
1.0	it	would	would quite strange	0	0
1.0	he	have	lot	0	0
1.0	he	go to	school just north	0	0
1.0	Michael Perham	have	destination	O	O
1.0	London	have	school	O	LOCATION
1.0	it	would	would strange	0	0
1.0	Michael Perham	have	boat Monkey	O	O
1.0	he	go to	school in Hatfield north	0	LOCATION
1.0	he	go to	school in Hatfield of London	0	LOCATION
1.0	he	go to	school just north of London	0	LOCATION
1.0	he	go to	school north	0	0
1.0	he	be tail by	Peter	0	PERSON
1.0	he	be	tail in separate vessel by he father	0	0
1.0	Michael Perham	have	waist	O	O
1.0	he	be	tail	0	0
1.0	he	be tail in	vessel	0	0
1.0	Michael Perham	have	mother Heather	PERSON	O
1.0	he	go back to	school in Hatfield	0	LOCATION
1.0	Spain	have	south	O	LOCATION
1.0	you	have	kids	O	O
1.0	he	go back to	school of London	0	LOCATION
1.0	he	go to	school in Hatfield north of London	0	LOCATION
1.0	Michael Perham	have	father	O	O
1.0	he	go back to	school in Hatfield just north	0	LOCATION
1.0	he	be tail in	separate vessel	0	0
1.0	he mother Heather	tell	Times	PERSON	ORGANIZATION
1.0	he	go back to	school in Hatfield north	0	LOCATION
1.0	he	go back to	school in Hatfield of London	0	LOCATION
1.0	she	add	she	0	0
1.0	he	go to	school north of London	0	LOCATION
1.0	he	be tail by	he father	0	0
1.0	he	go back to	school in Hatfield north of London	0	LOCATION
1.0	he	have	lot of coursework	0	0
1.0	Times	report at_time	Wednesday	ORGANIZATION	DATE
1.0	he	go back to	school north of London	0	LOCATION
1.0	he	go to	school in Hatfield	0	LOCATION
1.0	he	go back to	school	0	0
1.0	he	go to	school in Hatfield just north	0	LOCATION
1.0	he	go back to	school just north of London	0	LOCATION
1.0	he	go to	school	0	0
1.0	coursework	have	lot	O	O
1.0	school	be in	Hatfield	0	LOCATION
1.0	he	go back to	school in Hatfield just north of London	0	LOCATION
1.0	he	go to	school in Hatfield just north of London	0	LOCATION
1.0	he	father	Peter	0	PERSON
1.0	Antigua	have	Caribbean island	O	LOCATION
1.0	he	go back to	school north	0	0
1.0	he	be	tail in vessel by he father	0	0
1.0	he	go to	school of London	0	LOCATION
