1.0	25 other	be in	connection	NUMBER	0
1.0	several young woman	be among	those arrest	0	0
1.0	young woman	be among	those arrest in resort	0	0
1.0	suspect prostitution ring	be in	exclusive french ski resort of Courchevel	0	LOCATION
1.0	several young woman	be among	those arrest in resort	0	0
1.0	young woman	be among	those	0	0
1.0	Mikhail Prokhorov	chairman of	metal	PERSON	0
1.0	all	be	have since release	0	0
1.0	woman	be among	those arrest	0	0
1.0	businessmen	have	group	O	O
1.0	state prosecutor	be in	central-eastern city of Lyon Richaud	0	PERSON
1.0	Lyon , Xavier Richaud	proceed with	caution	PERSON	0
1.0	Mikhail Prokhorov	celebrate at_time	Eastern Orthodox New Year	PERSON	DATE
1.0	several young woman	be among	those	0	0
1.0	Courchevel	have	ski resort	O	LOCATION
1.0	Mikhail Prokhorov	be	41	PERSON	NUMBER
1.0	metals	have	chairman	O	O
1.0	woman	be among	those arrest in resort	0	0
1.0	prosecutor	say at_time	late Thursday	0	DATE
1.0	several woman	be among	those	0	0
1.0	several young woman	be among	those arrest in alpine resort	0	0
1.0	young woman	be among	those arrest in alpine resort	0	0
1.0	young woman	be among	those arrest	0	0
1.0	Forbes magazine	have	list	O	O
1.0	Mikhail Prokhorov	be stay along	celebrate	PERSON	0
1.0	Mikhail Prokhorov	be stay	celebrate	PERSON	0
1.0	world	have	people	O	O
1.0	several woman	be among	those arrest	0	0
1.0	several woman	be among	those arrest in resort	0	0
1.0	Mikhail Prokhorov	be stay	celebrate Eastern Orthodox New Year	PERSON	DATE
1.0	Mikhail Prokhorov	be stay along	celebrate Eastern Orthodox New Year	PERSON	DATE
1.0	woman	be among	those arrest in alpine resort	0	0
1.0	several woman	be among	those arrest in alpine resort	0	0
1.0	all	be	have release	0	0
1.0	Lyon Richaud	have	city	O	PERSON
1.0	people	have	list	O	O
1.0	woman	be among	those	0	0
