1.0	PSE	be of	polish	ORGANIZATION	0
1.0	would one step	reduce baltic state reliance on	Russia	NUMBER	LOCATION
1.0	Vilnius	have	eagerness include	LOCATION	0
1.0	Estonia	provoke	world 's worst disaster	LOCATION	0
0.5383907158305592	plan	replace power facility in	Ignalina eastern Lithuania	0	LOCATION
1.0	Estonia	provoke	Latvia	LOCATION	LOCATION
1.0	Estonia	give	Latvia	LOCATION	LOCATION
1.0	Estonia	have	electricity companies	O	LOCATION
1.0	world	have	disaster	O	O
1.0	plant	require	investment	0	0
1.0	Estonia	give	light	LOCATION	0
1.0	The electricity companies of Estonia , Latvia and Lithuania	have	counterpart	O	O
1.0	Sandor Liive	chairman of	board	PERSON	0
0.5214477491922022	feasibility study	conduct by	baltic energy company	0	0
1.0	Moscow	be	with which lock in dispute over transit fee	LOCATION	0
1.0	they power grid	link to	that	0	0
1.0	nuclear facility	would	would just one step	0	NUMBER
1.0	would one step	reduce state reliance on	Russia they energy resource	NUMBER	LOCATION
0.5746844177491822	new nuclear facility	reduce	state ' reliance	0	0
1.0	Moscow	be lock in	dispute over transit fee	LOCATION	0
1.0	Lithuanian Prime Minister Gediminas Kirkilas	announce in	December	PERSON	DATE
1.0	board	have	chairman	O	O
1.0	Poland	be in	project build	LOCATION	0
1.0	states	have	reliance	O	O
1.0	Warsaw	be	Sandor Liive	LOCATION	PERSON
1.0	Lithuania	have	electricity companies	O	LOCATION
1.0	Poland in a project to build a new nuclear power plant in Lithuania	join	project	LOCATION	0
1.0	talk	be	hold	0	0
1.0	Estonia	provoke	world 's disaster	LOCATION	0
1.0	energy company	have	knowledge	O	O
1.0	single-reactor plant	require	investment	0	0
1.0	their	have	energy resources	O	O
1.0	Poland	have	participation	O	LOCATION
1.0	they power grid	remain	link to that	0	0
1.0	feasibility study	leave	gap between closure of Ignalina	0	LOCATION
1.0	new nuclear facility	would	would one step	0	NUMBER
1.0	feasibility study	leave	six-year gap	0	DURATION
1.0	feasibility study	leave	gap	0	0
1.0	nuclear facility	would	would one step	0	NUMBER
1.0	Estonia	give light at_time	year	LOCATION	DATE
1.0	that time	have	electricity	O	O
1.0	they power grid	link to	that of they former ruler	0	0
1.0	Sandor Liive	say after	talk	PERSON	0
1.0	world	have	worst nuclear disaster	0	0
1.0	Rymantas Juozaitis	head of	Lietuvos Energija	PERSON	ORGANIZATION
1.0	Estonia	provoke	Lithuania	LOCATION	LOCATION
1.0	Tuesday	have	meeting	O	DATE
1.0	energy companies	have	heads	O	O
1.0	they power grid	remain	link to that of they former ruler	0	0
1.0	Sandor Liive	say after	talk in Warsaw	PERSON	LOCATION
1.0	new plant	have	capacity	0	0
1.0	Poland	have	participation	LOCATION	0
1.0	would one step	reduce baltic state reliance on	Russia they energy resource	NUMBER	LOCATION
1.0	Estonia	provoke	world 's worst nuclear disaster	LOCATION	0
1.0	ruler	have	that	O	O
1.0	electricity group PSE	have	head	O	ORGANIZATION
0.5383907158305592	plan	replace ageing power facility in	Ignalina Lithuania	0	LOCATION
1.0	Ignalina	have	closure	O	LOCATION
0.5214477491922022	feasibility study	conduct	year	0	DATE
1.0	would one step	reduce	baltic state ' reliance	NUMBER	0
1.0	Tuesday	after	meeting	DATE	0
1.0	talk	be in	Warsaw	0	LOCATION
1.0	Moscow	be	with which lock	LOCATION	0
1.0	oil	have	supplies	O	O
1.0	they power grid	remain	link	0	0
1.0	Estonia	provoke	world 's nuclear disaster	LOCATION	0
1.0	Estonia	give	green light	LOCATION	0
1.0	gas	have	supplies	O	O
1.0	Estonia	give light at_time	last year	LOCATION	DATE
1.0	new single-reactor plant	require	investment	0	0
0.5383907158305592	plan	replace	power facility	0	0
1.0	value	have	perception	O	O
1.0	Latvia	have	leaders	O	LOCATION
0.5383907158305592	plan	replace power facility in	Ignalina Lithuania	0	LOCATION
1.0	oil	have	flow	O	O
1.0	Eesti Energia	have	board	O	ORGANIZATION
0.5214477491922022	feasibility study	conduct by	energy company	0	0
1.0	Moscow	be lock in	dispute	LOCATION	0
0.5746844177491822	facility	reduce	baltic state ' reliance	0	0
