1.0	explosive	of kilo be	44 pound	0	MONEY
1.0	Cadena Ser radio	have report	discovery	ORGANIZATION	0
1.0	explosive	be in	two day Friday	0	NUMBER
1.0	Cadena Ser radio	have earlier report	discovery of 30 kilo of explosive in rucksack	ORGANIZATION	NUMBER
1.0	Cadena Ser radio	have earlier report	discovery of 30 kilo	ORGANIZATION	NUMBER
1.0	explosives in two days	have	kilos	O	O
1.0	Spain	in	basque region	LOCATION	DURATION
1.0	kilos	have	discovery	O	O
1.0	Cadena Ser radio	have report	discovery of 30 kilo of explosive in rucksack along with detonator	ORGANIZATION	NUMBER
1.0	police	be in	Spain 's basque region	0	LOCATION
1.0	media	report at_time	Friday	0	DATE
1.0	Cadena Ser radio	have report	discovery of 30 kilo	ORGANIZATION	NUMBER
1.0	Spain	have	region	O	LOCATION
1.0	explosives	have	kilos	O	O
1.0	Cadena Ser radio	have earlier report	discovery of 30 kilo of explosive	ORGANIZATION	NUMBER
1.0	spanish media	report at_time	Friday	0	DATE
1.0	Cadena Ser radio	have earlier report	discovery of 30 kilo of explosive in rucksack along	ORGANIZATION	NUMBER
1.0	explosives	have	load	O	O
1.0	explosive	be in	rucksack along with detonator	0	0
1.0	Cadena Ser radio	have earlier report	discovery	ORGANIZATION	0
1.0	region	have	north	O	O
1.0	Cadena Ser radio	have earlier report	discovery of 30 kilo of explosive in rucksack along with detonator	ORGANIZATION	NUMBER
1.0	Cadena Ser radio	have report	discovery of 30 kilo of explosive in rucksack	ORGANIZATION	NUMBER
1.0	Cadena Ser radio	have report	discovery of 30 kilo of explosive	ORGANIZATION	NUMBER
1.0	Cadena Ser radio	have report	discovery of 30 kilo of explosive in rucksack along	ORGANIZATION	NUMBER
