1.0	Ben Bot	be	Dutch	PERSON	MISC
1.0	public	be send troops into	country	0	0
1.0	Bush 's strategy	have	have criticize in United States	PERSON	LOCATION
1.0	Iraq	have	neighbour	LOCATION	0
1.0	Bush 's new strategy	have	have criticize	PERSON	0
1.0	public	be send troops after	nearly four year	0	DURATION
1.0	Netherlands	send	about 1,400 troops	LOCATION	NUMBER
1.0	US President George W. Bush	have	strategy	O	PERSON
1.0	George W. Bush	be president of	the United States	PERSON	LOCATION
1.0	George W. Bush	at	new strategy for Iraq	PERSON	LOCATION
1.0	Bush 's strategy	have	have criticize	PERSON	0
1.0	Bush	have	new strategy	PERSON	0
1.0	Ben Bot	be on	Friday	PERSON	DATE
1.0	George W. Bush	be 's	the United States	PERSON	LOCATION
1.0	Bush 's new strategy	have	have widely criticize in United States	PERSON	LOCATION
1.0	Bush 's strategy	have	have widely criticize in United States	PERSON	LOCATION
1.0	public	oust	Saddam Hussein	0	PERSON
1.0	Bush	have	strategy	O	PERSON
1.0	Iraq	have	neighbours	O	LOCATION
1.0	Bush 's new strategy	have	have widely criticize	PERSON	0
1.0	Bush 's new strategy	have	have criticize in United States	PERSON	LOCATION
1.0	Bush 's strategy	have	have widely criticize	PERSON	0
