1.0	sea Tigers	arm of	rebel	ORGANIZATION	0
1.0	ltte	accuse	military	0	0
1.0	ltte	want	separate homeland for minority tamil	0	0
1.0	ltte	accuse	military of air raid	0	0
1.0	rebels	have	arm	O	O
1.0	ltte	's spokesperson be	Rasiah Ilanthirayan	0	PERSON
1.0	conflict	have claim since	1972	0	DATE
1.0	LTTE	have	spokesperson	O	ORGANIZATION
1.0	three other	be in	fragmentation mine blast inside Tiger territory	NUMBER	0
1.0	ltte 's spokesperson	accuse	government force	0	0
1.0	ltte 's military spokesperson	also accuse	government force	0	0
1.0	houses	have	some	O	O
1.0	two state employee	injure	three other	NUMBER	NUMBER
1.0	Tamil Eelam base	have	Liberation Tigers	ORGANIZATION	O
1.0	ltte	want	homeland for minority tamil	0	0
1.0	ltte	want homeland in	northern region	0	0
1.0	ltte	have	military spokesperson	0	0
1.0	ltte	want homeland in	region	0	0
1.0	two state employee	injure	three other in fragmentation mine blast inside Tiger territory	NUMBER	NUMBER
1.0	ltte	want homeland in	northern region of country	0	0
1.0	rebel	say in	statement	0	0
1.0	The residents	have	homes	O	O
1.0	explosion	occur next to	jeep	0	0
1.0	ltte	accuse	military of non-stop air raid	0	0
1.0	ltte 's military spokesperson	accuse	government force	0	0
1.0	island	have	north	O	O
1.0	country	have	regions	O	O
1.0	ltte	want	homeland	0	0
1.0	ltte 's spokesperson	also accuse	government force	0	0
1.0	ltte	want homeland in	region of sinhalese-majority country	0	0
1.0	ltte	want	separate homeland	0	0
1.0	ltte	want homeland in	region of country	0	0
1.0	air raids	have	military	O	O
1.0	ltte	want homeland in	northern region of sinhalese-majority country	0	0
1.0	The residents	have	houses	O	O
1.0	raids	have	day	DURATION	O
1.0	two state employee	injure	three other in fragmentation mine blast	NUMBER	NUMBER
