1.0	stock market	nosedive	record 15 percent	0	PERCENT
1.0	drop	follow	loss	0	0
1.0	heighten tension	spark	rumour of new coup	0	0
1.0	bluechip SET 50 index	shed	14.26 point	NUMBER	NUMBER
1.0	its	have	subsidiary PTT Exploration	O	O
1.0	confidence crisis	have take	toll on regional stock	0	0
1.0	losses	have	week	DURATION	O
1.0	its subsidiary PTT Exploration	slip	Production	ORGANIZATION	0
1.0	SET 50 index	shed	14.26 point	NUMBER	NUMBER
1.0	Prime Minister Surayud Chulanont	again warn of	more possible attack for at least two month	PERSON	DURATION
1.0	Finance minister Pridiyathorn Devakula	insist at_time	Friday	PERSON	DATE
1.0	loser	overwhelm	gainer with 45 stock unchanged on turnover baht	0	MONEY
1.0	Thai baht	fall	close to dollar from Thursday 's 35.92-95	MISC	NUMBER
1.0	Thailand	have	largest energy firm	LOCATION	0
1.0	stock market slump	be	short-lived	0	0
1.0	gainer	be with	16.59 billion baht	0	MONEY
1.0	heighten tension	spark	rumour of coup	0	0
1.0	uncertainties	have	lost	O	O
1.0	Thailand	have	energy firm	O	LOCATION
1.0	loser	overwhelm	gainer with unchanged on turnover worth baht	0	MONEY
1.0	Prime Minister Surayud Chulanont	warn of	possible attack for at least two month	PERSON	DURATION
1.0	drop	follow	massive loss	0	0
1.0	bombings	have	government warnings	O	O
1.0	Thai baht	fall	close at 35.95-36 .00	MISC	NUMBER
1.0	loser	overwhelm	gainer with 45 stock unchanged on turnover worth baht	0	MONEY
1.0	authority	reverse	measure aim	0	0
1.0	Thai baht	fall slightly	close at 35.95-36 .00 to dollar	MISC	NUMBER
1.0	Thai baht	fall	close to dollar	MISC	0
1.0	Thai baht	close to	dollar from Thursday 's 35.92-95	MISC	NUMBER
1.0	Thai baht	fall slightly	close to dollar from Thursday 's 35.92-95	MISC	NUMBER
1.0	loser	overwhelm	gainer with 45 stock unchanged on turnover of 2.35 billion share baht	0	NUMBER
1.0	tension	spark rumour during	further market	0	0
1.0	loser	overwhelm	gainer with worth baht	0	MONEY
1.0	he	tell	reporter	0	0
1.0	loser	overwhelm	gainer with unchanged on turnover of 2.35 billion share worth baht	0	NUMBER
1.0	confidence crisis	have take	toll	0	0
1.0	Thailand	's operator be	Advanced Info Service	LOCATION	ORGANIZATION
1.0	PTT	plunge by	8.00 baht	ORGANIZATION	MONEY
1.0	SET index	shed	14.26 point	0	NUMBER
1.0	Thailand	have	phone operator	O	LOCATION
1.0	Thai baht	close at	35.95-36 .00	MISC	NUMBER
1.0	latest drop	follow	massive loss	0	0
1.0	tension	spark rumour during	market	0	0
1.0	baht	have	gains	O	O
1.0	Prime Minister Surayud Chulanont	again warn of	possible attack for at least two month	PERSON	DURATION
1.0	coup	have	bombings	O	O
1.0	Thai baht	fall slightly	close to dollar	MISC	0
1.0	attacks	have	warned	O	O
1.0	bluechip SET index	shed	14.26 point	0	NUMBER
1.0	loser	overwhelm	gainer with unchanged worth baht	0	MONEY
1.0	heighten tension	spark rumour during	Thursday night	0	TIME
1.0	heighten tension	spark	rumour	0	0
1.0	heighten tension	spark rumour during	market	0	0
1.0	loser	overwhelm	gainer with 45 stock unchanged on turnover of 2.35 billion share worth baht	0	NUMBER
1.0	Stock Exchange	lose	20.03 point	ORGANIZATION	NUMBER
1.0	loser	overwhelm	gainer	0	0
1.0	tension	spark rumour during	rattle market	0	0
1.0	latest drop	follow	loss	0	0
1.0	confidence crisis	be in	Thailand	0	LOCATION
1.0	loser	overwhelm	gainer with baht	0	MONEY
1.0	military-installed Prime Minister Surayud Chulanont	again warn of	possible attack for at least two month	PERSON	DURATION
1.0	Thai baht	fall slightly	close at 35.95-36 .00 to dollar from Thursday 's 35.92-95	MISC	NUMBER
1.0	confidence crisis	have take	toll on other regional stock	0	0
1.0	loser	overwhelm	gainer with 45 stock unchanged baht	0	MONEY
1.0	increase uncertainty	be in	market	0	0
1.0	loser	overwhelm	gainer with unchanged on turnover baht	0	MONEY
1.0	baht	have	sharp gain	0	0
1.0	current situation	be in	Thailand	DATE	LOCATION
1.0	Thailand	have	mobile phone operator	LOCATION	0
1.0	tension	spark rumour during	Thursday night	0	TIME
1.0	confidence crisis	have take	toll on stock	0	0
1.0	Thai baht	fall	close at 35.95-36 .00 to dollar from Thursday 's 35.92-95	MISC	NUMBER
1.0	Surayud Chulanont	be on	Friday	PERSON	DATE
1.0	authority	quickly reverse	measure	0	0
1.0	military-installed Prime Minister Surayud Chulanont	again warn of	more possible attack for at least two month	PERSON	DURATION
1.0	slower growth	be in	the first quarter	0	DATE
1.0	Thai baht	fall	close at 35.95-36 .00 to dollar	MISC	NUMBER
1.0	latest drop	follow loss in	mid-december	0	0
1.0	shares	have	turnover	O	O
1.0	blast	be in	Bangkok	0	LOCATION
1.0	drop	follow loss in	mid-december	0	0
