1.0	Canberra	in university be	the ANU 's	LOCATION	0
1.0	Philippines	face problem with	chain	LOCATION	0
1.0	he	be work	assassinate then pope John Paul II	0	DATE
1.0	Philippines	face problem with	vast chain of island easily reachable by militant	LOCATION	0
1.0	prominent militant	operate in	country	0	0
1.0	Philippines	face problem with	vast chain of island reachable	LOCATION	0
1.0	Philippines	face problem with	vast chain of remote island reachable by militant come	LOCATION	0
1.0	they	slip easily into	urban christian area unnoticed	0	0
1.0	country	have prove fully	impossible	0	0
1.0	ANU	have	Babbage	PERSON	ORGANIZATION
1.0	Philippines	also face problem with	vast chain	LOCATION	0
1.0	country	have prove fully	all impossible to police	0	0
1.0	Philippines	also face problem with	vast chain of remote island easily reachable by militant	LOCATION	0
1.0	assistance	make	difference	0	0
1.0	Ross Babbage	be of	australian National University	PERSON	ORGANIZATION
1.0	they	slip easily into	christian area unnoticed	0	0
1.0	Sulu island chain	be	muslim stronghold home	LOCATION	0
0.27792894616668395	thousand	live on	Mindanao	0	LOCATION
1.0	this week	at	summit	DATE	0
1.0	Philippines	also face problem with	chain of island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	face problem with	vast chain of island reachable by militant come	LOCATION	0
1.0	country	have prove fully	impossible to police	0	0
1.0	Sulu island chain	be	muslim stronghold home to Abu Sayyaf	LOCATION	PERSON
1.0	US	have	part	O	LOCATION
1.0	governance	would	would good start	0	0
1.0	terror	be in	country	0	0
1.0	foreign assistance	make	difference	0	0
1.0	they	slip easily into	urban area	0	0
1.0	prominent militant	be	able	0	0
1.0	leader	be in	Southeast Asia 's	0	LOCATION
1.0	bomb blast	have put	spotlight on Philippines	0	LOCATION
1.0	Philippines	face problem with	vast chain of island easily reachable by militant come	LOCATION	0
1.0	President Gloria Arroyo	have	government	O	PERSON
1.0	Philippines	also face problem with	chain of remote island reachable by militant	LOCATION	0
1.0	country	remain	deadlock in struggle with militant in location	0	0
1.0	Philippines	also face problem with	chain of island easily reachable	LOCATION	0
1.0	they	slip into	christian area unnoticed	0	0
1.0	recipe	be	complete	0	0
1.0	Philippines	also face problem with	vast chain of remote island	LOCATION	0
1.0	government rule	have	defiance	O	O
1.0	Philippines	face problem with	vast chain of remote island	LOCATION	0
1.0	the government	have	authority	O	O
1.0	Institute	have	John Harrison	PERSON	ORGANIZATION
1.0	a similar bill	have	legislature	O	O
1.0	militant	operate in	country	0	0
1.0	country	be also battle	Rajah Solaiman group	0	MISC
1.0	hundred	traverse at_time	day	0	SET
1.0	poverty	have	history	O	O
1.0	issue	be	address	0	0
1.0	Philippines	face problem with	vast chain of remote island easily reachable	LOCATION	0
1.0	he	be work on	plan	0	0
1.0	australian National University	be in	Canberra	ORGANIZATION	LOCATION
1.0	militant	operate	undetected	0	0
1.0	Philippines	face problem with	vast chain of remote island reachable by militant come from Malaysia	LOCATION	LOCATION
1.0	Philippines	face problem with	vast chain of island easily reachable	LOCATION	0
1.0	Philippines	also face problem with	vast chain of remote island reachable by militant come	LOCATION	0
