0.9859773795464108	migrant	100 at	least	0	0
1.0	rebel group	free	state of all	0	0
1.0	hundred	start	flee	0	0
1.0	army	draft	fleet of helicopter	0	0
1.0	army	so far have kill	three militant in raid	0	NUMBER
1.0	helicopters	have	fleet	O	O
1.0	all	have	state	O	O
1.0	hundred	start	flee in panic	0	0
1.0	military crackdown	be on	on full swing	0	0
1.0	government	say at_time	Wednesday	0	DATE
1.0	military crackdown	be on	on swing	0	0
1.0	ULFA militant	kill	at least 100 migrant	ORGANIZATION	NUMBER
1.0	attacks	have	target	O	O
1.0	army	have kill	three militant	0	NUMBER
1.0	army	scour	thick jungle	0	0
1.0	army	scour	thick jungle of northeast	0	0
1.0	army	scour	jungle	0	0
1.0	weekend killing	be	suspect	DATE	0
1.0	hundred	flee in	panic	0	0
1.0	rebel group	free	state	0	0
1.0	attacks	have	series	O	O
1.0	army	draft	fleet	0	0
1.0	crackdown	be on	on full swing	0	0
1.0	army	so far have kill	three militant	0	NUMBER
1.0	campaign	be in	oil tea state since 1979	0	DATE
1.0	Asom	have	Front	ORGANIZATION	ORGANIZATION
1.0	northeast	have	jungles	O	O
1.0	army	scour	thick jungle of remote northeast	0	0
1.0	three militant	be in	raid	NUMBER	0
1.0	crackdown	be on	on swing	0	0
1.0	army	far have kill	three militant in raid	0	NUMBER
1.0	army	have kill	three militant in raid	0	NUMBER
1.0	workers	have	hundreds	O	O
1.0	Assam	have	state	O	LOCATION
1.0	army	scour	jungle of remote northeast	0	0
1.0	army	far have kill	three militant	0	NUMBER
1.0	army	scour	jungle of northeast	0	0
